month,county,mean_price,mean_sqft,sale_num
2003-04,Alameda,417792.307692308,5251.37262357414,329
2003-04,Contra Costa,386597.112860892,6092.07260726073,392
2003-04,Marin,609474.358974359,6390.07317073171,45
2003-04,Napa,400257.575757576,6261.6875,34
2003-04,San Francisco,583062.5,2618.57894736842,33
2003-04,San Mateo,614067.164179104,5567.98507462687,144
2003-04,Santa Clara,500123.106060606,5314.93308550186,286
2003-04,Solano,308329.032258065,6001.71140939597,155
2003-04,Sonoma,406252.688172043,5890.78947368421,95
